Job_Title,Location,machine_learning,hadoop,tableau,lat,long
"Scientist, Data (Machine Learning)",CA,1,0,0,36.778259,-119.417931
Data Scientist (Masters-Level),OH,0,0,0,40.367474,-82.996216
Data Scientist (Masters-Level),OH,0,0,0,40.367474,-82.996216
Data Scientist,TX,1,1,0,31,-100
Data Scientist,VA,0,0,0,44,-72.699997
"Associate, Data Scientist, Healthcare",GA,1,0,0,33.247875,-83.441162
Data Scientist,TX,1,0,1,31,-100
Data Scientist,VA,1,1,1,44,-72.699997
Principal Data Scientist,IN,1,0,0,40.273502,-86.126976
Principal Data Scientist,IN,1,0,0,40.273502,-86.126976
Principal Data Scientist,IN,1,0,0,40.273502,-86.126976
Data Scientist,AR,1,0,0,34.799999,-92.199997
Machine Learning / Artificial Intelligence Scientist,MI,1,1,0,44.182205,-84.506836
Data Scientist/Developer - Senior,MD,0,0,0,39.045753,-76.641273
Senior Data Scientist,TX,1,0,0,31,-100
Data Scientist,NJ,0,0,0,39.833851,-74.871826
"Associate, Data Scientist, Healthcare",PA,1,0,0,41.203323,-77.194527
Electric Vehicle Infrastructure Modeling and Data Scientist...,CO,0,0,0,39.113014,-105.358887
"Associate, Data Scientist, Healthcare",TN,1,0,0,35.860119,-86.660156
"Associate, Data Scientist, Healthcare",IL,1,0,0,40,-89
IRES - Data Scientist (AS0003XO),AL,0,0,0,32.31823,-86.902298
IRES - Data Scientist,AL,0,0,0,32.31823,-86.902298
Pharmacy Analytics Translator (Data Scientist),PA,0,0,1,41.203323,-77.194527
Data Scientist III,CA,0,0,1,36.778259,-119.417931
Computer Science Data Scientist,NC,1,1,1,35.782169,-80.793457
Human Capital Data Scientist,MD,0,0,1,39.045753,-76.641273
Lead Data Scientist,IL,0,0,0,40,-89
Junior Data Scientist,MD,0,0,1,39.045753,-76.641273
Data Scientist,AZ,1,0,0,34.048927,-11.093735
Cyber Defense Data Scientist,CO,0,0,0,39.113014,-105.358887
Data Scientist- (Machine Learning & Artificial Intelligence),CT,1,1,0,41.599998,-72.699997
Data Scientist,CO,0,0,0,39.113014,-105.358887
Data Scientist/Computational Biologist,MD,1,0,0,39.045753,-76.641273
Senior Data Scientist - Pricing & Inventory Models,VA,1,0,0,44,-72.699997
Research Scientist/Data Scientist,NE,1,0,0,41.5,-100
Senior Data Scientist,NV,1,0,1,39.876019,-117.224121
Data Scientist,VA,0,0,1,44,-72.699997
Principal Data Scientist,MD,1,0,0,39.045753,-76.641273
Data Scientist,WA,1,0,0,47.751076,-120.740135
Data Scientist - Secret Clearance Required,MO,0,0,1,38.573936,-92.60376
"Sr. Associate, NLP, Data Scientist",CO,1,0,0,39.113014,-105.358887
"Sr. Associate, Data Scientist, NLP",CO,1,0,0,39.113014,-105.358887
"Scientist, Machine Learning",CA,1,0,0,36.778259,-119.417931
Data Scientist,AL,0,0,0,32.31823,-86.902298
Data Scientist,VA,1,1,0,44,-72.699997
Machine Learning and Artificial Intelligence Scientist,NY,1,0,0,43,-75
IT - Healthcare Information Data Scientist,TN,0,0,0,35.860119,-86.660156
Data Scientist,AZ,1,0,1,34.048927,-11.093735
"Sr. Associate, Data Scientist, NLP",GA,1,0,0,33.247875,-83.441162
"Sr. Associate, NLP, Data Scientist",GA,1,0,0,33.247875,-83.441162
"Sr. Associate, Data Scientist, NLP",TX,1,0,0,31,-100
Machine Learning Scientist,MD,1,0,0,39.045753,-76.641273
Data Scientist,VA,0,0,0,44,-72.699997
"Sr. Associate, Data Scientist, NLP",NY,1,0,0,43,-75
Data Scientist,NY,0,1,0,43,-75
Machine Learning Scientist,MA,1,0,0,45.376584,-68.972168
"Sr. Associate, NLP, Data Scientist",IL,1,0,0,40,-89
"Sr. Associate, Data Scientist, NLP",DC,1,0,0,47.751076,-120.740135
"Sr. Associate, Data Scientist, NLP",TX,1,0,0,31,-100
Data Scientist,VA,0,0,0,44,-72.699997
Sr Staff Data Scientist,NV,1,0,0,39.876019,-117.224121
"Data Science and Machine Learning, 2019 Undergraduate Intern...",CA,1,0,0,36.778259,-119.417931
Data Scientist,MA,1,0,0,45.376584,-68.972168
"Sr. Associate, NLP, Data Scientist",DC,1,0,0,47.751076,-120.740135
"Sr. Associate, Data Scientist, NLP",PA,1,0,0,41.203323,-77.194527
"Director, Data Scientist",GA,1,0,0,33.247875,-83.441162
Senior Data Scientist,NV,1,0,1,39.876019,-117.224121
"Sr. Associate, Data Scientist, NLP",MD,1,0,0,39.045753,-76.641273
"Sr. Associate, NLP, Data Scientist",WA,1,0,0,47.751076,-120.740135
Data Scientist - TS/SCI Required,MO,0,1,0,38.573936,-92.60376
"Data Science and Machine Learning, 2019 Undergraduate Intern",CA,1,0,0,36.778259,-119.417931
Analytics & Cognitive – Data Scientist – Solution Specialist...,AZ,1,1,0,34.048927,-11.093735
Data Scientist - Secret Clearance Required,VA,0,0,1,44,-72.699997
"Director, Data Scientist",CO,1,0,0,39.113014,-105.358887
"Sr. Associate, Data Scientist, NLP",VA,1,0,0,44,-72.699997
"Associate Research Scientist, Machine Learning & Statistics,...",NY,1,0,0,43,-75
Senior Statistician/Data Scientist,MA,1,0,1,45.376584,-68.972168
Machine Learning Intern,CA,1,1,0,36.778259,-119.417931
Sr. Data Scientist - Wholesale Banking Analytics,TN,0,0,1,35.860119,-86.660156
Data Scientist,PA,0,1,1,41.203323,-77.194527
"Manager, Data Scientist",GA,1,0,0,33.247875,-83.441162
"Director, Data Scientist",IL,1,0,0,40,-89
Sr. Data Scientist Lead,VA,0,0,0,44,-72.699997
"Manager, Data Scientist",CO,1,0,0,39.113014,-105.358887
"Director, Data Scientist",NY,1,0,0,43,-75
Data Scientist - Process Development Drug Substance Technolo...,MA,1,0,1,45.376584,-68.972168
"Data Science and Machine Learning, 2019 Graduate Intern",CA,1,0,0,36.778259,-119.417931
Data Scientist,TX,1,0,0,31,-100
Machine Learning Evangelist,CA,1,0,0,36.778259,-119.417931
"Associate, Artificial Intelligence & Machine Learning",NY,1,1,0,43,-75
"Scientist, Applied Machine Learning & Artificial Intelligenc...",MA,1,0,0,45.376584,-68.972168
"Data Science and Machine Learning, 2019 Graduate Intern",CA,1,0,0,36.778259,-119.417931
Data Scientist- Journeyman,VA,1,0,0,44,-72.699997
Scientist 1 - Machine Learning,MA,1,0,0,45.376584,-68.972168
"Manager, Data Scientist",NY,1,0,0,43,-75
Research Scientist - Machine Learning,OR,1,0,0,44,-120.5
"Manager, Data Scientist",IL,1,0,0,40,-89
AI Scientist - Machine Learning Focus,CA,0,1,0,36.778259,-119.417931
Data Scientist - TS/SCI Required,VA,0,1,0,44,-72.699997
"Sr. Associate, Data Scientist, NLP, Financial Services",GA,1,0,0,33.247875,-83.441162
Data Scientist - Full Time,FL,1,0,1,27.994402,-81.760254
Data Scientist,KS,0,0,0,38.5,-98
Data Scientist (Full Time) - United States,CA,0,1,0,36.778259,-119.417931
Associate Data Scientist,MA,1,0,0,45.376584,-68.972168
Data Scientist,TX,0,0,0,31,-100
Senior Data Scientist,OR,1,0,0,44,-120.5
Data Scientist,WA,1,0,0,47.751076,-120.740135
Data Scientist,MA,0,0,0,45.376584,-68.972168
Data Scientist,OR,1,0,0,44,-120.5
PL Actuarial-Associate Data Scientist,MA,0,0,0,45.376584,-68.972168
Data Scientist,TX,1,1,0,31,-100
Data Scientist,AZ,0,0,0,34.048927,-11.093735
DATA SCIENTIST,TX,1,1,0,31,-100
Data Scientist,FL,0,1,0,27.994402,-81.760254
Data Scientist/Modeller,TX,0,1,1,31,-100
Atmospheric Data Scientist / Meteorologist,MA,1,0,0,45.376584,-68.972168
DATA SCIENTIST II,KS,0,1,0,38.5,-98
Data Scientist,NJ,0,0,0,39.833851,-74.871826
Data Scientist,NJ,0,0,0,39.833851,-74.871826
Data Scientist,CA,0,0,0,36.778259,-119.417931
Data Scientist,MI,1,0,0,44.182205,-84.506836
Data Scientist,IN,0,0,0,40.273502,-86.126976
Data Scientist,OR,0,0,0,44,-120.5
Junior Data Scientist,CA,0,0,0,36.778259,-119.417931
Data Scientist 1,NJ,1,0,0,39.833851,-74.871826
Data Scientist,CA,0,0,0,36.778259,-119.417931
Campus Hiring Data Scientist I,TX,1,0,0,31,-100
Data Scientist,MA,1,0,0,45.376584,-68.972168
Data Scientist,WA,0,1,0,47.751076,-120.740135
Data Scientist,CA,1,0,0,36.778259,-119.417931
Data Scientist,CA,1,0,0,36.778259,-119.417931
Data Scientist,VA,0,0,0,44,-72.699997
Data Scientist,GA,1,0,0,33.247875,-83.441162
"Data Scientist, Forecasting & Planning",TX,0,1,1,31,-100
Data Scientist,WA,0,0,1,47.751076,-120.740135
Data Scientist - Corporate Analytics,WA,1,1,0,47.751076,-120.740135
Data Scientist,IA,1,0,0,40.273502,-86.126976
Data Scientist (Predictive Service Management),KY,1,0,1,37.839333,-84.27002
Data Scientist,FL,1,1,1,27.994402,-81.760254
Data Scientist,AR,0,1,0,34.799999,-92.199997
Data Scientist,GA,1,1,0,33.247875,-83.441162
Sr Data Scientist,TX,0,0,0,31,-100
DATA SCIENTIST,CA,0,0,0,36.778259,-119.417931
Data Scientist,CA,0,0,0,36.778259,-119.417931
Data Scientist,CT,0,0,0,41.599998,-72.699997
Data Scientist,MN,0,0,0,45.376584,-68.972168
Associate Data Scientist,GA,1,1,0,33.247875,-83.441162
Associate Data Scientist,GA,1,1,0,33.247875,-83.441162
Junior Data Scientist,IL,1,0,0,40,-89
Data Scientist,FL,0,0,0,27.994402,-81.760254
Data Scientist,MN,0,0,0,45.376584,-68.972168
Data Scientist,SC,1,0,0,33.836082,-81.163727
New Graduate Data Scientist,GA,1,1,0,33.247875,-83.441162
Data Scientist - You Make Data Sing,VA,1,0,0,44,-72.699997
Data Scientist,OH,1,0,0,40.367474,-82.996216
Data Scientist,CA,1,0,1,36.778259,-119.417931
Data Scientist,MI,0,0,0,44.182205,-84.506836
Data Scientist,NC,0,0,0,35.782169,-80.793457
Staff Data Scientist -Technology,AR,0,1,0,34.799999,-92.199997
Data Scientist,NE,1,0,0,41.5,-100
