Location,job_type,sql,sas,spark,java,r,lat,long
TN,data_engineer,1,0,0,1,1,35.860119,-86.660156
OH,data_engineer,1,0,0,0,0,40.367474,-82.996216
FL,data_engineer,0,0,0,0,0,27.994402,-81.760254
IL,data_engineer,0,0,1,1,0,40,-89
IL,data_engineer,0,0,1,1,0,40,-89
IL,data_engineer,1,0,0,0,1,40,-89
IL,data_engineer,0,0,1,1,0,40,-89
IL,data_engineer,0,0,1,1,0,40,-89
DE,data_engineer,0,0,1,1,0,39,-75.5
MA,data_engineer,1,0,1,1,0,45.376584,-68.972168
IL,data_engineer,0,0,1,1,0,40,-89
CA,data_engineer,1,0,1,1,0,36.778259,-119.417931
VA,data_engineer,0,0,1,1,0,37.926868,-68.024902
CT,data_engineer,0,0,1,0,0,41.599998,-72.699997
TX,data_engineer,1,0,0,1,0,31,-100
WA,data_engineer,0,0,0,0,0,47.751076,-120.740135
TX,data_engineer,1,0,1,1,0,31,-100
NC,data_engineer,1,1,1,1,1,35.782169,-80.793457
NY,data_engineer,0,0,0,0,0,43,-75
CT,data_engineer,0,0,1,0,0,41.599998,-72.699997
NY,data_engineer,1,0,0,1,0,43,-75
FL,data_engineer,0,0,1,0,0,27.994402,-81.760254
CA,data_engineer,1,0,1,1,0,36.778259,-119.417931
WA,data_engineer,1,0,1,1,0,47.751076,-120.740135
MD,data_engineer,1,0,1,1,0,39.045753,-76.641273
NC,data_engineer,1,0,0,0,0,35.782169,-80.793457
NY,data_engineer,0,0,0,1,0,43,-75
CO,data_engineer,1,0,0,0,1,39.113014,-105.358887
NJ,data_engineer,0,0,0,0,0,,
DC,data_engineer,1,0,1,1,0,47.751076,-120.740135
CA,data_engineer,1,0,1,1,0,36.778259,-119.417931
CO,data_engineer,1,0,1,0,1,39.113014,-105.358887
AZ,data_engineer,1,0,1,1,1,34.048927,-11.093735
CA,data_engineer,0,0,1,0,0,36.778259,-119.417931
IL,data_engineer,1,1,0,1,1,40,-89
TX,data_engineer,1,0,1,1,0,31,-100
MA,data_engineer,1,0,0,1,0,45.376584,-68.972168
TX,data_engineer,1,0,0,0,0,31,-100
TX,data_engineer,1,0,0,0,0,31,-100
VA,data_engineer,0,0,0,1,0,37.926868,-68.024902
IN,data_engineer,1,1,0,0,1,40.273502,-86.126976
CO,data_engineer,0,0,0,1,0,39.113014,-105.358887
NC,data_engineer,1,1,1,1,1,35.782169,-80.793457
MA,data_engineer,1,0,1,0,0,45.376584,-68.972168
NY,data_engineer,1,0,1,1,0,43,-75
NC,data_engineer,1,0,1,0,0,35.782169,-80.793457
NC,data_engineer,1,0,1,0,0,35.782169,-80.793457
IA,data_engineer,1,1,1,0,1,42.032974,-93.581543
MD,data_engineer,1,0,0,0,0,39.045753,-76.641273
WA,data_engineer,1,0,0,0,0,47.751076,-120.740135
NC,data_engineer,1,0,1,0,0,35.782169,-80.793457
NC,data_engineer,1,0,1,0,0,35.782169,-80.793457
FL,data_engineer,1,0,1,1,0,27.994402,-81.760254
MN,data_engineer,1,0,0,0,0,46.39241,-94.63623
MA,data_engineer,1,0,0,0,1,45.376584,-68.972168
TN,data_engineer,1,0,1,0,0,35.860119,-86.660156
NY,data_engineer,0,0,0,0,0,43,-75
RI,data_engineer,1,1,1,0,1,41.700001,-71.5
ME,data_engineer,1,0,1,0,0,45.376584,-68.972168
VA,data_engineer,1,0,1,0,0,37.926868,-68.024902
OR,data_engineer,1,0,1,0,1,44,-120.5
WY,data_engineer,1,0,0,1,1,43.07597,-107.290283
MA,data_engineer,1,0,1,1,0,45.376584,-68.972168
FL,data_engineer,1,0,1,1,0,27.994402,-81.760254
AR,data_engineer,1,0,0,0,0,34.048927,-11.093735
AR,data_engineer,1,0,0,0,0,34.048927,-11.093735
IA,data_engineer,1,0,0,0,0,42.032974,-93.581543
GA,data_engineer,0,0,1,0,0,33.247875,-83.441162
NY,data_engineer,1,0,1,0,0,43,-75
OR,data_engineer,0,0,0,0,0,44,-120.5
NC,data_engineer,0,0,1,1,0,35.782169,-80.793457
OH,data_engineer,1,0,1,1,1,40.367474,-82.996216
CA,data_engineer,1,0,1,0,0,,
TX,data_engineer,1,0,1,0,0,31,-100
GA,data_engineer,1,0,1,0,0,33.247875,-83.441162
VA,data_engineer,1,1,1,0,1,37.926868,-68.024902
IL,data_engineer,1,0,1,0,0,40,-89
PA,data_engineer,1,1,0,1,1,41.203323,-77.194527
CO,data_engineer,1,0,1,1,1,39.113014,-105.358887
AZ,data_engineer,1,0,0,1,1,,
VA,data_engineer,1,0,0,0,1,37.926868,-68.024902
TX,data_engineer,0,0,1,1,0,31,-100
NC,data_engineer,1,0,1,1,0,35.782169,-80.793457
FL,data_engineer,0,0,0,0,0,27.994402,-81.760254
VA,data_engineer,1,0,0,0,0,37.926868,-68.024902
ME,data_engineer,1,0,1,0,0,45.376584,-68.972168
NC,data_engineer,1,1,1,0,0,35.782169,-80.793457
KS,data_engineer,1,0,1,1,0,38.5,-98
CA,data_engineer,1,0,1,0,0,,
PA,data_engineer,0,0,0,1,0,41.203323,-77.194527
MN,data_engineer,1,0,1,0,1,46.39241,-94.63623
IL,data_engineer,1,0,1,0,0,40,-89
NJ,data_engineer,1,0,1,0,1,,
NY,data_engineer,1,0,0,0,1,43,-75
CO,data_engineer,1,0,1,0,0,39.113014,-105.358887
IL,data_engineer,1,0,1,0,0,40,-89
TN,data_engineer,1,0,0,0,0,35.860119,-86.660156
NC,data_engineer,1,0,0,0,0,35.782169,-80.793457
NJ,data_engineer,1,0,1,0,0,,
IL,data_engineer,1,0,1,0,0,40,-89
CA,data_engineer,0,0,0,0,0,,
GA,data_engineer,1,0,1,0,0,33.247875,-83.441162
NY,data_engineer,1,1,1,1,1,43,-75
DC,data_engineer,1,0,1,0,0,47.751076,-120.740135
ME,data_engineer,1,0,1,1,0,45.376584,-68.972168
DC,data_engineer,0,0,0,1,0,47.751076,-120.740135
ME,data_engineer,1,0,0,1,0,45.376584,-68.972168
WA,data_engineer,1,0,1,1,0,47.751076,-120.740135
WA,data_engineer,1,0,1,1,0,47.751076,-120.740135
IL,data_engineer,1,0,0,1,1,40,-89
NC,data_engineer,1,0,1,1,0,35.782169,-80.793457
PA,data_engineer,1,0,1,0,0,41.203323,-77.194527
TX,data_engineer,1,0,1,0,0,31,-100
MA,data_engineer,1,0,0,0,0,45.376584,-68.972168
TX,data_engineer,1,1,0,0,1,31,-100
OH,data_engineer,0,0,0,0,0,40.367474,-82.996216
MA,data_engineer,1,1,0,0,1,45.376584,-68.972168
MD,data_engineer,1,0,1,1,0,39.045753,-76.641273
OR,data_engineer,1,0,1,0,0,44,-120.5
DC,data_engineer,0,0,0,1,0,47.751076,-120.740135
TX,data_engineer,1,0,0,0,0,31,-100
PA,data_engineer,0,0,0,0,0,41.203323,-77.194527
IL,data_engineer,1,0,1,0,0,40,-89
TX,data_engineer,1,0,0,0,0,31,-100
MI,data_engineer,1,0,0,1,0,44.182205,-84.506836
IL,data_engineer,0,1,1,0,1,40,-89
NY,data_engineer,0,0,0,0,0,43,-75
PA,data_engineer,1,0,1,1,0,41.203323,-77.194527
OR,data_engineer,1,0,1,0,0,44,-120.5
MN,data_engineer,1,0,1,0,0,46.39241,-94.63623
MN,data_engineer,1,0,1,1,0,46.39241,-94.63623
NV,data_engineer,1,0,1,0,1,39.876019,-117.224121
PA,data_engineer,1,0,1,0,0,41.203323,-77.194527
VA,data_engineer,0,0,0,0,1,37.926868,-68.024902
NY,data_engineer,1,1,0,0,0,43,-75
DC,data_engineer,1,1,0,1,1,47.751076,-120.740135
OR,data_engineer,1,0,1,0,0,44,-120.5
