Location,job_type,sql,sas,spark,java,r,lat,long
AL,data_scientist,1,0,0,1,1,32.31823,-86.902298
AL,data_scientist,1,0,0,1,1,32.31823,-86.902298
PA,data_scientist,1,1,1,0,1,41.203323,-77.194527
CA,data_scientist,1,1,0,0,0,36.778259,-119.417931
NC,data_scientist,0,0,1,1,1,35.782169,-80.793457
MD,data_scientist,1,1,0,0,1,39.045753,-76.641273
IL,data_scientist,0,0,0,0,1,40,-89
MD,data_scientist,1,1,0,0,1,39.045753,-76.641273
AZ,data_scientist,0,0,0,0,1,34.048927,-11.093735
CO,data_scientist,0,0,0,0,0,39.113014,-105.358887
CT,data_scientist,1,1,1,1,1,41.599998,-72.699997
CO,data_scientist,1,0,0,1,1,39.113014,-105.358887
MD,data_scientist,0,0,0,1,1,39.045753,-76.641273
VA,data_scientist,1,0,0,0,0,37.926868,-68.024902
NE,data_scientist,0,0,0,0,1,41.5,-100
NV,data_scientist,1,1,0,0,1,39.876019,-117.224121
VA,data_scientist,1,1,0,0,1,37.926868,-68.024902
MD,data_scientist,1,0,1,1,1,39.045753,-76.641273
WA,data_scientist,1,0,0,0,1,47.751076,-120.740135
MO,data_scientist,1,0,0,0,1,38.573936,-92.60376
CO,data_scientist,1,0,0,0,0,39.113014,-105.358887
CO,data_scientist,1,0,0,0,0,39.113014,-105.358887
CA,data_scientist,0,0,0,0,0,36.778259,-119.417931
AL,data_scientist,1,0,0,1,1,32.31823,-86.902298
VA,data_scientist,1,0,0,1,0,37.926868,-68.024902
NY,data_scientist,0,0,0,0,0,43,-75
TN,data_scientist,1,0,0,0,0,35.860119,-86.660156
AZ,data_scientist,1,1,0,0,1,34.048927,-11.093735
GA,data_scientist,1,0,0,0,0,33.247875,-83.441162
GA,data_scientist,1,0,0,0,0,33.247875,-83.441162
TX,data_scientist,1,0,0,0,0,31,-100
MD,data_scientist,0,0,0,1,0,39.045753,-76.641273
VA,data_scientist,0,1,0,0,0,37.926868,-68.024902
NY,data_scientist,1,0,0,0,0,43,-75
NY,data_scientist,1,1,0,0,1,43,-75
MA,data_scientist,0,0,0,0,0,45.376584,-68.972168
IL,data_scientist,1,0,0,0,0,40,-89
DC,data_scientist,1,0,0,0,0,47.751076,-120.740135
TX,data_scientist,1,0,0,0,0,31,-100
VA,data_scientist,1,0,0,1,1,37.926868,-68.024902
NV,data_scientist,1,0,0,0,1,39.876019,-117.224121
CA,data_scientist,0,0,0,0,0,36.778259,-119.417931
MA,data_scientist,0,0,1,1,0,45.376584,-68.972168
DC,data_scientist,1,0,0,0,0,47.751076,-120.740135
PA,data_scientist,1,0,0,0,0,41.203323,-77.194527
GA,data_scientist,1,0,0,0,0,33.247875,-83.441162
NV,data_scientist,1,1,0,0,1,39.876019,-117.224121
MD,data_scientist,1,0,0,0,0,39.045753,-76.641273
WA,data_scientist,1,0,0,0,0,47.751076,-120.740135
MO,data_scientist,1,0,0,0,1,38.573936,-92.60376
CA,data_scientist,0,0,0,0,0,36.778259,-119.417931
AZ,data_scientist,1,1,0,0,1,34.048927,-11.093735
VA,data_scientist,1,0,0,0,1,37.926868,-68.024902
CO,data_scientist,1,0,0,0,0,39.113014,-105.358887
VA,data_scientist,1,0,0,0,0,37.926868,-68.024902
NY,data_scientist,0,0,0,0,0,43,-75
MA,data_scientist,1,1,0,1,1,45.376584,-68.972168
CA,data_scientist,0,0,0,0,0,36.778259,-119.417931
TN,data_scientist,0,0,0,0,0,35.860119,-86.660156
PA,data_scientist,1,1,0,0,1,41.203323,-77.194527
GA,data_scientist,1,0,0,0,0,33.247875,-83.441162
IL,data_scientist,1,0,0,0,0,40,-89
VA,data_scientist,0,0,0,0,0,37.926868,-68.024902
CO,data_scientist,1,0,0,0,0,39.113014,-105.358887
NY,data_scientist,1,0,0,0,0,43,-75
MA,data_scientist,1,0,0,0,1,45.376584,-68.972168
CA,data_scientist,0,0,0,0,0,36.778259,-119.417931
TX,data_scientist,0,0,1,1,1,31,-100
CA,data_scientist,0,0,0,0,0,36.778259,-119.417931
NY,data_scientist,1,0,1,1,0,43,-75
MA,data_scientist,0,0,0,0,1,45.376584,-68.972168
CA,data_scientist,0,0,0,0,0,36.778259,-119.417931
VA,data_scientist,1,0,0,0,1,37.926868,-68.024902
MA,data_scientist,0,1,0,1,0,45.376584,-68.972168
NY,data_scientist,1,0,0,0,0,43,-75
OR,data_scientist,0,0,0,1,0,44,-120.5
IL,data_scientist,1,0,0,0,0,40,-89
CA,data_scientist,1,0,1,0,0,36.778259,-119.417931
VA,data_scientist,1,0,0,0,1,37.926868,-68.024902
GA,data_scientist,1,0,0,0,0,33.247875,-83.441162
FL,data_scientist,1,0,0,1,1,27.994402,-81.760254
KS,data_scientist,0,0,0,0,0,38.5,-98
CA,data_scientist,1,1,0,0,1,36.778259,-119.417931
MA,data_scientist,1,0,0,0,0,45.376584,-68.972168
TX,data_scientist,0,1,0,0,1,31,-100
OR,data_scientist,0,0,0,0,0,44,-120.5
WA,data_scientist,1,0,0,0,1,47.751076,-120.740135
MA,data_scientist,0,0,0,0,0,45.376584,-68.972168
OR,data_scientist,1,0,0,0,1,44,-120.5
MA,data_scientist,0,0,0,0,0,45.376584,-68.972168
TX,data_scientist,1,0,1,1,1,31,-100
AZ,data_scientist,0,0,0,0,0,34.048927,-11.093735
TX,data_scientist,1,0,1,1,0,31,-100
FL,data_scientist,1,0,1,1,0,27.994402,-81.760254
TX,data_scientist,1,1,0,0,1,31,-100
MA,data_scientist,0,0,0,0,0,45.376584,-68.972168
KS,data_scientist,0,0,0,0,1,38.5,-98
NJ,data_scientist,0,0,1,0,1,39.833851,-74.871826
NJ,data_scientist,0,0,1,0,1,39.833851,-74.871826
CA,data_scientist,0,0,0,0,0,36.778259,-119.417931
MI,data_scientist,1,0,0,1,1,44.182205,-84.506836
