Location,job_type,sql,sas,spark,java,r,lat,long
PA,data_analyst,0,0,0,0,0,41.203323,-77.194527
PA,data_analyst,0,0,0,0,0,41.203323,-77.194527
OR,data_analyst,1,1,0,0,1,44,-120.5
NV,data_analyst,1,1,0,0,0,39.876019,-117.224121
OH,data_analyst,1,0,0,0,0,40.367474,-82.996216
TX,data_analyst,1,0,0,0,0,31,-100
TX,data_analyst,0,0,0,0,0,31,-100
GA,data_analyst,0,1,0,0,0,33.247875,-83.441162
NJ,data_analyst,0,0,0,0,0,39.833851,-74.871826
MO,data_analyst,1,0,0,0,0,38.573936,-92.60376
TX,data_analyst,1,1,0,0,0,31,-100
NJ,data_analyst,1,0,0,0,0,39.833851,-74.871826
GA,data_analyst,0,1,0,0,1,33.247875,-83.441162
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
TX,data_analyst,0,0,0,0,0,31,-100
MA,data_analyst,1,0,0,0,0,45.376584,-68.972168
NV,data_analyst,1,1,0,0,0,39.876019,-117.224121
NC,data_analyst,0,0,0,0,0,35.782169,-80.793457
WA,data_analyst,1,0,0,0,0,47.751076,-120.740135
VA,data_analyst,1,0,0,0,0,37.926868,-68.024902
AZ,data_analyst,0,0,0,0,0,34.048927,-11.093735
PA,data_analyst,0,0,0,0,0,41.203323,-77.194527
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
MD,data_analyst,0,0,0,0,0,39.045753,-76.641273
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
NJ,data_analyst,0,0,0,0,0,39.833851,-74.871826
NY,data_analyst,1,1,0,0,1,43,-75
TX,data_analyst,0,0,0,0,0,31,-100
CA,data_analyst,1,0,0,0,1,36.778259,-119.417931
NY,data_analyst,1,0,0,0,0,43,-75
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
CT,data_analyst,1,0,0,0,0,41.599998,-72.699997
TX,data_analyst,1,1,0,0,0,31,-100
FL,data_analyst,1,0,0,0,0,27.994402,-81.760254
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
GA,data_analyst,1,1,0,0,1,33.247875,-83.441162
CO,data_analyst,0,0,0,0,0,39.113014,-105.358887
OH,data_analyst,0,0,0,0,0,40.367474,-82.996216
MD,data_analyst,1,0,0,0,0,39.045753,-76.641273
IL,data_analyst,1,0,0,0,0,40,-89
NY,data_analyst,1,0,0,0,0,43,-75
MA,data_analyst,1,0,0,0,0,45.376584,-68.972168
NC,data_analyst,1,1,0,0,1,35.782169,-80.793457
PA,data_analyst,0,0,0,0,0,41.203323,-77.194527
MD,data_analyst,1,0,0,0,0,39.045753,-76.641273
TX,data_analyst,0,0,0,0,0,31,-100
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
TX,data_analyst,1,1,0,0,0,31,-100
KY,data_analyst,1,0,0,0,0,37.839333,-84.27002
HI,data_analyst,1,1,0,0,1,19.741755,-155.844437
TN,data_analyst,1,1,0,0,1,35.860119,-86.660156
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
MN,data_analyst,1,0,0,0,0,46.39241,-94.63623
OH,data_analyst,0,0,0,0,0,40.367474,-82.996216
MN,data_analyst,0,0,0,0,0,46.39241,-94.63623
NY,data_analyst,1,0,0,0,1,43,-75
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
CA,data_analyst,1,1,0,1,1,36.778259,-119.417931
TN,data_analyst,0,0,0,0,0,35.860119,-86.660156
TX,data_analyst,0,0,0,0,0,31,-100
PA,data_analyst,0,0,0,0,0,41.203323,-77.194527
VA,data_analyst,1,0,0,0,0,37.926868,-68.024902
GA,data_analyst,1,0,0,0,0,33.247875,-83.441162
NY,data_analyst,0,1,0,0,0,43,-75
MO,data_analyst,1,0,0,0,0,38.573936,-92.60376
FL,data_analyst,1,0,0,0,0,27.994402,-81.760254
NY,data_analyst,1,0,0,0,0,43,-75
MA,data_analyst,1,0,0,0,0,45.376584,-68.972168
NY,data_analyst,0,0,0,0,0,43,-75
MA,data_analyst,1,0,0,0,0,45.376584,-68.972168
MA,data_analyst,0,0,0,0,0,45.376584,-68.972168
NC,data_analyst,1,1,0,0,1,35.782169,-80.793457
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
MA,data_analyst,1,0,0,0,0,45.376584,-68.972168
GA,data_analyst,0,0,0,0,0,33.247875,-83.441162
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
WI,data_analyst,0,0,0,0,0,44.5,-89.5
OH,data_analyst,0,0,0,0,0,40.367474,-82.996216
TX,data_analyst,0,0,0,0,0,31,-100
MI,data_analyst,1,0,0,0,0,44.182205,-84.506836
MA,data_analyst,0,0,0,0,0,45.376584,-68.972168
NY,data_analyst,0,0,0,0,0,43,-75
CO,data_analyst,0,0,0,0,0,39.113014,-105.358887
TX,data_analyst,1,0,0,0,0,31,-100
TX,data_analyst,1,0,0,0,0,31,-100
IL,data_analyst,0,0,0,0,0,40,-89
PA,data_analyst,0,0,0,0,0,41.203323,-77.194527
MD,data_analyst,1,1,0,0,0,39.045753,-76.641273
NY,data_analyst,1,0,0,0,0,43,-75
NY,data_analyst,0,0,0,0,0,43,-75
GA,data_analyst,1,1,0,0,1,33.247875,-83.441162
DC,data_analyst,0,0,0,0,0,47.751076,-120.740135
NY,data_analyst,0,0,0,0,0,43,-75
MO,data_analyst,1,0,0,0,0,38.573936,-92.60376
MI,data_analyst,1,0,0,0,0,44.182205,-84.506836
PA,data_analyst,1,0,0,0,0,41.203323,-77.194527
MA,data_analyst,0,0,0,0,0,45.376584,-68.972168
VA,data_analyst,0,0,0,0,0,37.926868,-68.024902
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
WI,data_analyst,0,0,0,0,0,44.5,-89.5
OH,data_analyst,1,0,0,0,1,40.367474,-82.996216
TN,data_analyst,1,0,0,0,0,35.860119,-86.660156
DC,data_analyst,0,0,0,0,0,47.751076,-120.740135
MA,data_analyst,0,0,0,0,0,45.376584,-68.972168
IL,data_analyst,1,0,0,0,0,40,-89
IA,data_analyst,1,0,0,0,0,42.032974,-93.581543
WA,data_analyst,1,0,0,1,0,47.751076,-120.740135
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
NY,data_analyst,1,0,0,0,0,43,-75
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
WA,data_analyst,1,0,0,0,0,47.751076,-120.740135
PA,data_analyst,1,0,0,0,0,41.203323,-77.194527
NV,data_analyst,0,0,0,0,0,39.876019,-117.224121
NJ,data_analyst,0,0,0,0,0,39.833851,-74.871826
AR,data_analyst,0,1,0,0,1,34.048927,-11.093735
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
MA,data_analyst,1,0,0,0,0,45.376584,-68.972168
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
NY,data_analyst,1,1,0,1,0,43,-75
IL,data_analyst,1,0,0,0,0,40,-89
AR,data_analyst,1,0,0,0,0,34.048927,-11.093735
IN,data_analyst,0,0,0,1,1,40.273502,-86.126976
WA,data_analyst,0,0,0,0,0,47.751076,-120.740135
WA,data_analyst,0,0,0,0,0,47.751076,-120.740135
FL,data_analyst,0,0,0,0,0,27.994402,-81.760254
VA,data_analyst,1,0,0,0,1,37.926868,-68.024902
OH,data_analyst,1,1,0,0,1,40.367474,-82.996216
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
DC,data_analyst,1,1,0,0,0,47.751076,-120.740135
SC,data_analyst,1,0,0,0,0,33.836082,-81.163727
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
MD,data_analyst,0,0,0,0,0,39.045753,-76.641273
TX,data_analyst,1,1,0,0,0,31,-100
UT,data_analyst,0,0,0,1,0,39.41922,-11.950684
NJ,data_analyst,0,0,0,0,0,39.833851,-74.871826
NJ,data_analyst,0,0,0,0,0,39.833851,-74.871826
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
DC,data_analyst,0,0,0,0,0,47.751076,-120.740135
CO,data_analyst,0,0,0,0,0,39.113014,-105.358887
IL,data_analyst,0,0,0,0,0,40,-89
MD,data_analyst,0,1,0,0,0,39.045753,-76.641273
UT,data_analyst,1,1,0,0,1,39.41922,-11.950684
TX,data_analyst,1,1,0,0,0,31,-100
MD,data_analyst,1,1,0,0,1,39.045753,-76.641273
WA,data_analyst,0,0,0,0,0,47.751076,-120.740135
IL,data_analyst,0,0,0,0,0,40,-89
TX,data_analyst,1,0,0,0,0,31,-100
OH,data_analyst,0,0,0,0,0,40.367474,-82.996216
OH,data_analyst,0,0,0,0,0,40.367474,-82.996216
MO,data_analyst,1,0,0,0,0,38.573936,-92.60376
MI,data_analyst,0,0,0,0,0,44.182205,-84.506836
CA,data_analyst,1,0,0,0,1,36.778259,-119.417931
NY,data_analyst,0,0,0,0,0,43,-75
NY,data_analyst,1,0,0,0,0,43,-75
MA,data_analyst,0,1,0,0,1,45.376584,-68.972168
TX,data_analyst,0,0,0,0,0,31,-100
MO,data_analyst,0,0,0,0,0,38.573936,-92.60376
PA,data_analyst,1,0,0,0,0,41.203323,-77.194527
NM,data_analyst,0,0,0,0,1,34.307144,-106.018066
PA,data_analyst,1,0,0,0,0,41.203323,-77.194527
NJ,data_analyst,0,0,0,0,0,39.833851,-74.871826
MD,data_analyst,1,0,0,0,0,39.045753,-76.641273
MA,data_analyst,1,0,0,0,0,45.376584,-68.972168
PA,data_analyst,1,0,0,0,0,41.203323,-77.194527
NJ,data_analyst,0,0,0,0,0,39.833851,-74.871826
MI,data_analyst,0,0,0,0,1,44.182205,-84.506836
NC,data_analyst,1,0,0,0,0,35.782169,-80.793457
NY,data_analyst,0,0,0,0,0,43,-75
TX,data_analyst,1,0,0,0,0,31,-100
ME,data_analyst,1,0,0,0,0,45.376584,-68.972168
IL,data_analyst,0,0,1,0,0,40,-89
TX,data_analyst,0,0,0,0,0,31,-100
IL,data_analyst,1,0,0,0,1,40,-89
OR,data_analyst,1,0,0,0,0,44,-120.5
FL,data_analyst,0,0,0,0,0,27.994402,-81.760254
MA,data_analyst,0,0,0,0,0,45.376584,-68.972168
MO,data_analyst,1,0,0,0,0,38.573936,-92.60376
PA,data_analyst,1,1,0,0,0,41.203323,-77.194527
OH,data_analyst,0,0,0,0,0,40.367474,-82.996216
IL,data_analyst,0,0,0,0,1,40,-89
VA,data_analyst,1,0,0,0,0,37.926868,-68.024902
MD,data_analyst,0,0,0,0,0,39.045753,-76.641273
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
VA,data_analyst,0,0,0,0,0,37.926868,-68.024902
IL,data_analyst,0,0,0,0,0,40,-89
OR,data_analyst,0,1,0,0,0,44,-120.5
IL,data_analyst,0,0,0,0,1,40,-89
AZ,data_analyst,0,0,0,0,0,34.048927,-11.093735
MD,data_analyst,0,0,0,0,1,39.045753,-76.641273
MN,data_analyst,1,1,0,0,0,46.39241,-94.63623
TX,data_analyst,1,0,0,0,0,31,-100
PA,data_analyst,1,0,0,0,0,41.203323,-77.194527
MA,data_analyst,0,0,0,0,0,45.376584,-68.972168
AR,data_analyst,1,0,1,1,0,34.048927,-11.093735
VA,data_analyst,1,0,0,0,0,37.926868,-68.024902
PA,data_analyst,1,1,0,0,1,41.203323,-77.194527
VA,data_analyst,1,1,0,0,1,37.926868,-68.024902
TN,data_analyst,0,0,0,0,0,35.860119,-86.660156
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
NJ,data_analyst,0,0,0,0,0,39.833851,-74.871826
FL,data_analyst,1,1,0,0,1,27.994402,-81.760254
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
